Designator,Mid X,Mid Y,Rotation,Layer
12V1,177.6,-82.7,270.0,top
24V_2,202.8125,-106.5,180.0,top
C1,172.1875,-78.625,180.0,top
C10,171.925,-64.2,0.0,top
C11,176.5,-65.8,270.0,top
C12,176.5612,-69.4188,90.0,top
C13,183.075,-69.875,0.0,top
C14,176.45,-74.6125,90.0,top
C15,178.45,-74.6125,90.0,top
C16,168.5,-71.65,180.0,top
C17,171.05,-68.95,270.0,top
C18,169.0,-68.9625,270.0,top
C2,172.3875,-76.8,180.0,top
C20,181.6,-74.7625,90.0,top
C21,185.7,-67.9,90.0,top
C3,172.1,-66.0,0.0,top
C4,165.25,-52.253235,0.0,top
C5,165.2125,-53.778235,0.0,top
C6,170.0,-59.875,270.0,top
C7,158.25,-58.05,180.0,top
C8,160.725,-60.925,270.0,top
C9,162.375,-56.55,90.0,top
C_D1,162.0,-80.0,270.0,top
C_F1,196.175,-101.375,0.0,top
C_R2,169.25,-82.0,90.0,top
D5,206.15,-94.85,90.0,bottom
D7,206.1,-87.7,90.0,bottom
FANS,208.805,-92.675,0.0,top
FAN_A_NEG,205.9,-84.7125,90.0,top
FAN_B_NEG,206.0,-99.725,270.0,top
IC1,165.7,-56.325,180.0,top
IC2,179.1,-68.95,270.0,top
J1,182.23,-93.76,180.0,top
L1,162.9375,-70.7125,90.0,top
LVPWR10,157.8125,-102.9,0.0,top
LVPWR11,165.675,-102.875,0.0,top
LVPWR12,169.6,-102.825,0.0,top
LVPWR13,177.625,-102.85,0.0,top
LVPWR14,185.5,-102.825,0.0,top
LVPWR15,181.575,-102.85,0.0,top
LVPWR2,161.2708,-92.11275,270.0,top
LVPWR3,161.7,-102.9,0.0,top
LVPWR4,161.3,-84.7,270.0,top
LVPWR5,161.2708,-88.4125,270.0,top
LVPWR6,173.6,-102.75,0.0,top
LVPWR7,157.9,-61.55,180.0,top
LVPWR8,161.2,-95.7875,90.0,top
LVPWR9,161.2,-99.5875,270.0,top
MOCO-IN,157.94045,-43.650001,90.0,top
MOCO-OUT,207.30955,-43.650001,270.0,top
PEAK,194.0,-39.195,90.0,top
PWR + CAN,208.53,-67.325,0.0,top
PWR MPPT,209.185,-105.75,0.0,top
Q1,198.685,-80.675,270.0,top
Q2,173.17,-82.821585,180.0,top
Q5,198.675,-86.2,270.0,top
Q6,163.8,-61.2,270.0,top
Q7,184.375,-74.365,90.0,top
R1,171.85,-71.7,180.0,top
R11,166.475,-59.875,90.0,top
R12,170.0,-56.3,90.0,bottom
R13,168.25,-59.875,90.0,top
R14,183.1,-68.3,180.0,top
R15,173.5125,-104.5,0.0,top
R16,172.3875,-75.2,180.0,top
R18,183.075,-71.425,180.0,top
R19,203.4,-84.8,270.0,bottom
R2,167.2,-69.0,270.0,top
R20,206.0,-104.1,270.0,bottom
R21,159.575,-95.725,270.0,top
R22,159.55,-99.375,90.0,top
R23,157.7,-104.5,180.0,top
R24,165.6875,-104.5,180.0,top
R25,177.4,-71.875,180.0,top
R26,169.6,-104.5,180.0,top
R27,177.6,-104.5,180.0,top
R28,185.5,-104.5,180.0,top
R29,181.575,-104.5,180.0,top
R3,159.625,-92.15,90.0,top
R4,161.7,-104.5,0.0,top
R5,159.65,-84.7,90.0,top
R6,157.975,-59.9,0.0,top
R7,201.1875,-108.4,0.0,bottom
R8,159.675,-88.38725,90.0,top
R9,168.6875,-76.6875,180.0,top
R_A_TACH_PD1,195.9125,-108.4,0.0,bottom
R_B_TACH_PD1,191.6,-108.4,0.0,bottom
R_G1,193.83075,-81.795,180.0,top
R_G2,193.7875,-87.2,180.0,top
R_G3,181.6,-84.1,90.0,top
R_PD1,193.8125,-80.25,0.0,top
R_PD2,193.7875,-85.625,180.0,top
R_PD3,180.1,-84.1,270.0,top
U1,168.575,-74.1625,180.0,top
Z1,188.2,-67.3,90.0,top
Z2,179.0,-63.575,90.0,top
Z3,170.2,-52.925,0.0,top
Z4,160.9,-65.25,180.0,top
Z5,204.2,-60.2,90.0,top
